StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q20.4,Q20.5,Q18.4,Q18.5,Q19.2_8,Q19.3,Q19.4,Q19.4_9_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
1/19/2021 4:19,1/19/2021 4:21,0,100,105,1,1/19/2021 4:21,anonymous,NL,1,Opera,73.0.3856.344,Windows NT 10.0,1600x900,,,,,,,,,4,3,4,6,6,4,4,4,,,,,6,7,7,6,6,6,0,0,1.557,0,0,0,1.497,0,5,6,,,,,,,,,,,0,0,1.466,0,7,7,5,5,7,6,4,waarom niet,3,2,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:21,1/19/2021 4:22,0,100,99,1,1/19/2021 4:22,anonymous,NL,1,Safari,14.0.2,Macintosh,1440x900,,,,,,,,,4,4,5,4,5,2,4,5,,,,,3,4,2,2,5,3,0,0,2.005,0,0,0,1.559,0,5,3,,,,,,,,,,,1.414,1.414,2.166,1,4,4,3,2,4,4,3,"mee te helpen aan de immuniteit van de maatschappij
",2,3,2,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:21,1/19/2021 4:22,0,100,85,1,1/19/2021 4:22,anonymous,NL,1,Safari iPhone,14.0.2,iPhone,414x896,7,7,7,7,7,7,7,7,,,,,,,,,7,7,7,7,,,,,7,7,0.427,0.927,1.615,2,0.376,0.376,1.424,1,7,7,,,,,,,,,,,0.282,0.879,1.693,2,7,7,7,7,7,7,4,Fijn en behulpzaam,4,4,4,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:21,1/19/2021 4:23,0,100,109,1,1/19/2021 4:23,anonymous,NL,1,Firefox,84,Windows NT 10.0,1920x1080,,,,,,,,,4,4,4,4,4,4,4,4,,,,,4,4,4,4,4,4,,,,,,,,,,,0,0,2.213,0,0,0,0.941,0,4,4,1.408,1.408,2.331,1,4,4,4,4,4,4,3,weet niet,4,4,4,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:24,1/19/2021 4:26,0,100,102,1,1/19/2021 4:26,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,,,,,,,,6,6,5,5,6,5,6,5,,,,,4,4,5,6,5,4,,,,,,,,,,,0,0,3.024,0,0,0,5.717,0,6,4,0,0,7.498,0,4,5,6,6,5,4,4,"ik zou graag willen dat iedereen zich in laat enten ook al is het tegen de wil, want als de helft zich laat inenten hebben we niks aan een vaccin",2,4,3,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:25,1/19/2021 4:26,0,100,60,1,1/19/2021 4:26,anonymous,NL,1,Chrome,87.0.4280.141,Android 10,412x869,5,6,4,4,6,4,4,2,,,,,,,,,2,4,7,6,,,,,1,7,,,,,,,,,,,0.464,0.964,1.319,2,0.388,0.388,0.942,1,3,6,0.649,0.649,1.272,1,3,3,5,2,4,4,3,Nvt,4,3,1,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:22,1/19/2021 4:26,0,100,278,1,1/19/2021 4:26,anonymous,NL,1,Edge,87.0.664.75,Windows NT 10.0,1280x720,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,4,1,1,1,1,,,,,,,,,,,0,0,19.625,0,0,0,12.943,0,7,7,0,0,9.506,0,5,7,5,4,4,4,4,ik heb al een vaccin van pfizer gehad,4,4,4,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:24,1/19/2021 4:27,0,100,196,1,1/19/2021 4:27,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1600x900,,,,,,,,,7,6,6,6,7,7,6,6,,,,,6,6,7,7,6,7,0,0,11.85,0,1.62,1.62,1.901,1,6,6,,,,,,,,,,,0,0,9.954,0,7,6,7,6,5,6,3,Voor mijn gezondheid.,4,3,4,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021 4:21,1/19/2021 4:27,0,100,388,1,1/19/2021 4:27,anonymous,NL,1,Edge,87.0.664.75,Windows NT 10.0,1280x720,,,,,,,,,5,5,5,7,5,4,5,5,,,,,2,6,3,4,2,3,,,,,,,,,,,0,0,24.444,0,4.354,4.354,18.993,1,6,2,14.011,14.011,25.732,1,6,2,2,5,6,5,4,"ik wil gevaccineerd worden, door welk vaccin maakt me niet uit.",1,1,1,,,2,7,99,3,1,4,,,,2,2,3,5,3,4,5,3,3,je zo geen beeld krijgt van alles. alleen van het populaire,1,1,,21,2,5,,2,7,1,,7,1,,1,
1/19/2021 4:20,1/19/2021 4:29,0,100,545,1,1/19/2021 4:29,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1642x924,,,,,,,,,5,5,5,6,6,6,6,6,,,,,6,6,6,6,6,6,,,,,,,,,,,0,0,35.668,0,0,0,24.931,0,7,5,0,0,24.16,0,7,4,6,7,7,7,4,"Hoe meer mensen het vaccin nemen, hoe sneller we uit deze pandemie kunnen komen. ",4,4,4,,,2,7,negenennegentig,6,6,7,,,,2,1,5,6,3,4,5,4,5,,2,1,,24,2,5,,2,2,1,,9,2,Vietnamees,3,
